,INTUnit1,INTUnit2,INTUnit3,INTUnit4,INTUnit5,INTUnit6,INTUnit7
1/2/1962,7.0,2.0,9.0,8.0,2.0,2.0,0.0
1/3/1962,4.0,1.0,4.0,0.0,1.0,2.0,0.0
1/4/1962,5.0,1.0,2.0,7.0,1.0,3.0,0.0
1/5/1962,3.0,0.0,3.0,3.0,0.0,0.0,1.0
1/6/1962,5.0,0.0,4.0,0.0,1.0,0.0,2.0
1/7/1962,4.0,3.0,10.0,11.0,2.0,4.0,1.0
1/8/1962,6.0,3.0,11.0,8.0,4.0,2.0,1.0
1/9/1962,3.0,2.0,9.0,7.0,5.0,3.0,1.0
1/10/1962,1.0,0.0,9.0,8.0,4.0,1.0,0.0
1/11/1962,3.0,0.0,9.0,4.0,2.0,4.0,1.0
1/12/1962,6.0,1.0,3.0,2.0,3.0,0.0,0.0
1/13/1962,7.0,1.0,4.0,2.0,1.0,1.0,2.0
1/14/1962,2.0,0.0,8.0,6.0,2.0,4.0,0.0
1/15/1962,2.0,3.0,9.0,6.0,3.0,1.0,1.0
1/16/1962,5.0,1.0,8.0,9.0,3.0,3.0,0.0
1/17/1962,3.0,0.0,6.0,7.0,4.0,1.0,1.0
1/18/1962,6.0,1.0,6.0,5.0,1.0,2.0,1.0
1/19/1962,3.0,1.0,0.0,4.0,2.0,0.0,1.0
1/20/1962,5.0,0.0,1.0,1.0,0.0,0.0,0.0
1/21/1962,1.0,1.0,12.0,5.0,2.0,0.0,0.0
1/22/1962,6.0,2.0,10.0,8.0,1.0,2.0,0.0
1/23/1962,2.0,2.0,9.0,9.0,2.0,2.0,0.0
1/24/1962,5.0,3.0,6.0,7.0,2.0,1.0,1.0
1/25/1962,6.0,1.0,10.0,4.0,3.0,1.0,0.0
1/26/1962,4.0,2.0,2.0,3.0,2.0,1.0,1.0
1/27/1962,6.0,1.0,4.0,0.0,1.0,0.0,1.0
1/28/1962,5.0,2.0,10.0,9.0,5.0,5.0,0.0
1/29/1962,4.0,4.0,12.0,8.0,3.0,4.0,1.0
1/30/1962,2.0,1.0,9.0,6.0,5.0,4.0,0.0
1/31/1962,6.0,2.0,4.0,6.0,4.0,3.0,0.0
2/1/1962,5.0,0.0,9.0,7.0,7.0,4.0,2.0
2/2/1962,5.0,2.0,2.0,3.0,1.0,1.0,0.0
2/3/1962,4.0,1.0,2.0,1.0,2.0,0.0,1.0
