,dateonunit_date,UnitName,Susceptible,SusceptibleX,Colonized,Infected,SusceptibleX,admission,discharge,transfer_in,transfer_out
274,5/12/1962,INTUnit4,2,10,0,0,10,1,0,5,0
275,5/13/1962,INTUnit4,4,13,1,0,13,6,2,0,1
276,5/14/1962,INTUnit4,5,15,1,0,15,5,8,4,0
277,5/15/1962,INTUnit4,6,16,0,0,16,9,6,0,4
278,5/16/1962,INTUnit4,7,14,0,0,14,5,6,0,1
279,5/17/1962,INTUnit4,8,11,0,0,11,4,7,0,3
280,5/18/1962,INTUnit4,3,10,0,0,10,1,5,4,0
281,5/19/1962,INTUnit4,5,7,1,0,7,5,1,2,0
282,5/20/1962,INTUnit4,7,11,1,0,11,7,4,0,6
283,5/21/1962,INTUnit4,4,11,1,0,11,1,6,9,0
284,5/22/1962,INTUnit4,10,10,0,0,10,10,3,0,3
285,5/23/1962,INTUnit4,12,12,0,0,12,7,9,1,0
286,5/24/1962,INTUnit4,11,12,0,0,12,8,6,0,8
287,5/25/1962,INTUnit4,8,9,0,0,9,0,4,3,0
288,5/26/1962,INTUnit4,5,10,0,1,10,3,5,4,0
289,5/27/1962,INTUnit4,3,14,0,1,14,7,2,0,1
290,5/28/1962,INTUnit4,7,13,1,1,13,6,10,2,0
291,5/29/1962,INTUnit4,10,9,0,1,9,8,6,0,1
292,5/30/1962,INTUnit4,9,12,0,0,12,7,8,0,1
293,5/31/1962,INTUnit4,5,13,1,0,13,6,6,0,4
294,6/1/1962,INTUnit4,2,12,1,0,12,2,2,0,1
295,6/2/1962,INTUnit4,0,13,1,0,13,1,5,3,0
296,6/3/1962,INTUnit4,3,9,1,0,9,4,6,7,0
297,6/4/1962,INTUnit4,6,10,2,0,10,11,3,0,9
298,6/5/1962,INTUnit4,6,9,2,0,9,2,4,6,0
299,6/6/1962,INTUnit4,6,12,3,0,12,8,8,0,1
300,6/7/1962,INTUnit4,5,14,1,0,14,7,5,0,6
301,6/8/1962,INTUnit4,3,12,1,0,12,1,5,1,0
302,6/9/1962,INTUnit4,0,12,1,0,12,2,2,3,0
303,6/10/1962,INTUnit4,1,14,1,0,14,5,4,0,1
304,6/11/1962,INTUnit4,2,13,1,0,13,4,2,3,0
